id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
hveuXFWS53S1wWpaK0nokw,lupetto-new-york,Lupetto,https://s3-media3.fl.yelpcdn.com/bphoto/z1exZq7lZOp4qNQJynW-gA/o.jpg,False,https://www.yelp.com/biz/lupetto-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,6,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.74332, 'longitude': -73.98924}",[],"{'address1': '1123 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['1123 Broadway', 'New York, NY 10010']}",,,2083.1370163658635,
X97pE0LRWOng1q66kjAz1g,the-independent-new-york-3,The Independent,https://s3-media2.fl.yelpcdn.com/bphoto/gRmOJYaZaz6fDBOibnnvAw/o.jpg,False,https://www.yelp.com/biz/the-independent-new-york-3?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,229,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 40.75468, 'longitude': -73.98744}","['delivery', 'pickup']","{'address1': '147 W 40th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['147 W 40th St', 'New York, NY 10018']}",+19173883727,(917) 388-3727,975.8395124027536,$$
9mWw-sK4RjSPYRHQN_S9ZQ,tradisyon-new-york-2,Tradisyon,https://s3-media2.fl.yelpcdn.com/bphoto/796I8nZ5TtQrnu0T7JHWuQ/o.jpg,False,https://www.yelp.com/biz/tradisyon-new-york-2?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,262,"[{'alias': 'filipino', 'title': 'Filipino'}]",4.5,"{'latitude': 40.76491, 'longitude': -73.987537}","['delivery', 'pickup']","{'address1': '790 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['790 9th Ave', 'New York, NY 10019']}",+16468666900,(646) 866-6900,926.363658668446,$$
7Q68kpPS6okcC8Kkw7g42A,sushi-lab-rooftop-new-york-2,Sushi Lab Rooftop,https://s3-media2.fl.yelpcdn.com/bphoto/EZdrheKY7NxhnnZltFD4hQ/o.jpg,False,https://www.yelp.com/biz/sushi-lab-rooftop-new-york-2?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,571,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.758413, 'longitude': -73.983292}",[],"{'address1': '132 W 47th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['132 W 47th St', 'New York, NY 10036']}",+12124320000,(212) 432-0000,452.0100479069354,
E9NMNWvV70HV5gB369N0EA,nerai-new-york,Nerai,https://s3-media3.fl.yelpcdn.com/bphoto/c1ApdiUwJ9MDh4x_eLwBPw/o.jpg,False,https://www.yelp.com/biz/nerai-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,694,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 40.7602, 'longitude': -73.97308}","['delivery', 'pickup']","{'address1': '55 E 54th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['55 E 54th St', 'New York, NY 10022']}",+12127595554,(212) 759-5554,461.9362612025975,$$$
HpxYBu1ARzOGvuUcLJe54g,giardino-54-new-york,Giardino 54,https://s3-media3.fl.yelpcdn.com/bphoto/c2ryLJ0qvZqNTIgJevQ9YQ/o.jpg,False,https://www.yelp.com/biz/giardino-54-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,232,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.7660476, 'longitude': -73.987591}","['delivery', 'pickup']","{'address1': '400 1/2 W 54th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['400 1/2 W 54th St', 'New York, NY 10019']}",+16467264575,(646) 726-4575,1003.3986360609495,$$$
Bn25orKr4DP_Onk3iS-QZw,mắm-new-york-2,Mắm,https://s3-media1.fl.yelpcdn.com/bphoto/E8dvBeRP-43EX9sfJBbGFQ/o.jpg,False,https://www.yelp.com/biz/m%E1%BA%AFm-new-york-2?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,54,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 40.71704, 'longitude': -73.99338}",[],"{'address1': '70 Forsyth St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['70 Forsyth St', 'New York, NY 10002']}",,,4958.420607723635,
w0muQDL21sXLI4JmMxvnzQ,the-office-of-mr-moto-new-york,The Office of Mr Moto,https://s3-media2.fl.yelpcdn.com/bphoto/1VdUjQOrlILEucepy8wFLQ/o.jpg,False,https://www.yelp.com/biz/the-office-of-mr-moto-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,64,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 40.72682423372927, 'longitude': -73.984036}",[],"{'address1': '120 Saint Marks Pl', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['120 Saint Marks Pl', 'New York, NY 10009']}",+16463604065,(646) 360-4065,3742.0430653348412,
sRWRA4dcN_NR1JGpuRVouA,nan-xiang-xiao-long-bao-manhattan-new-york,Nan Xiang Xiao Long Bao - Manhattan,https://s3-media3.fl.yelpcdn.com/bphoto/lmcpkjW6fo_uJqBnxxqk4w/o.jpg,False,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-manhattan-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,751,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 40.74822527534694, 'longitude': -73.9857786}",[],"{'address1': '24 W 33rd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['24 W 33rd St', 'New York, NY 10001']}",+12129703888,(212) 970-3888,1467.387113754276,$$
XgiG7K7ubHsj2JJ-c2sXnw,thai-diner-new-york,Thai Diner,https://s3-media3.fl.yelpcdn.com/bphoto/ETLYsc6NuurL0X3aLpzrcw/o.jpg,False,https://www.yelp.com/biz/thai-diner-new-york?adjust_creative=1K5zb71fu5NPxEGmi0zFIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1K5zb71fu5NPxEGmi0zFIw,750,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 40.72071042964739, 'longitude': -73.9956057}",['delivery'],"{'address1': '186 Mott St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['186 Mott St', 'New York, NY 10012']}",+16465594140,(646) 559-4140,4623.04661820601,$$
